gene_id,sequence
XP_060540016.1,CACNA1H
KAK2503719.1,COX6C
XP_060677408.1,SPRTN
Q309B1.3,TRIM16L
XP_060638033.1,HOXA2
XP_060629446.1,CMPK1
XP_060680939.1,CROT
XP_060642709.1,DNAJA3
XP_060702493.1,CILP2
XP_060611426.1,SEMA4B
XP_060638848.1,CAMTA2
XP_060708825.1,WDR76
XP_060700544.1,TMEM260
XP_060502099.1,KRT32
XP_060614215.1,ETV3
XP_060694002.1,SLC10A3
WNN92443.1,GSTA2
XP_060624731.1,ANKRD1
XP_060681837.1,GPR18
XP_060704014.1,DERL2
XP_060708023.1,CFAP74
XP_060676690.1,TFAP2D
XP_060683078.1,EPC2
Q8IZU0.1,FAM9B
XP_060694654.1,SLC6A5
XP_060707310.1,HADH
XP_060688349.1,PABIR2
XP_060617472.1,GPX8
KAK2562939.1,SPATA5L1
XP_060664639.1,GGA2
XP_060624817.1,PPA1
NP_001091987.1,CADM1
XP_023332126.1,C19orf54
XP_060679736.1,CWC27
XP_060544459.1,HK3
XP_060685236.1,TECPR2
XP_060680766.1,FASTKD3
KAK2520439.1,PPP1R32
XP_060704869.1,CDK5RAP3
XP_060631152.1,TMEM241
XP_060703804.1,GLOD4
XP_060707447.1,MTTP
XP_060700594.1,GSG1
XP_060609420.1,SOCS4
KAK1197276.1,ZNF562
XP_060693572.1,ATMIN
XP_060712681.1,PIWIL2
XP_060705585.1,FAM234B
XP_060493342.1,ARMCX1
XP_060634168.1,ARFGAP3
XP_060538017.1,PTPRM
XP_060490929.1,OTUD6A
XP_060623567.1,SLITRK3
XP_060694288.1,CIAPIN1
XP_060640933.1,STAP2
XP_060690965.1,WDR33
XP_060540054.1,GRIN2A
XP_060638959.1,INCA1
XP_060618023.1,S1PR3
XP_060543696.1,PLEKHA7
XP_060691813.1,TLR9
XP_060611473.1,PCSK6
XP_060709653.1,HCN4
NP_001007158.1,LINC00612
XP_060632583.1,SLCO1A2
XP_060544337.1,IQSEC1
XP_060699087.1,ANKRD16
XP_060699706.1,SUSD2
Q14507.2,EDDM3A
XP_060702228.1,DPP9
XP_060703928.1,USP32
XP_060539936.1,EPC1
XP_060692741.1,NSG2
NP_001083878.1,PFKFB4
XP_060702809.1,SC5D
XP_060699449.1,SDF2L1
XP_060703500.1,GPR3
XP_060695684.1,POLR3B
XP_060627522.1,BANF2
NP_001400468.1,CSRP2
XP_060692286.1,ZNFX1
XP_060689205.1,DSCAM
XP_060502076.1,KRT9
XP_060504956.1,SEPHS2
XP_060538362.1,LRRFIP1
Q701N2.2,KRTAP5-11
BEU05165.1,MAEA
XP_060691436.1,CRELD1
XP_060443806.1,RNASE3
NP_057092.2,TCTEX1D2
NP_001121619.1,IGF2BP3
XP_060707183.1,TRIM52
XP_060490808.1,HAVCR2
XP_060514533.1,SPSB2
XP_060235242.1,LHB
NP_001365820.1,ROS1
CAK1211629.1,SPR
XP_060700886.1,CCDC40
XP_060614350.1,ACYP1
XP_060680715.1,SNX13
XP_060540137.1,GRAMD4
XP_060502097.1,KRT39
XP_042104882.1,PRSS2
XP_058916754.1,ZNF559
XP_060538842.1,DGKG
XP_060511948.1,ODAPH
XP_060701629.1,IPO9
NP_001342027.1,ZBTB20
XP_060709271.1,PDE8A
Q9UC07.2,ZNF69
XP_060705317.1,TRIM56
XP_060684009.1,HSPA12B
XP_060465891.1,FBP2
XP_060691240.1,ABHD14A
XP_060703485.1,NCDN
XP_060698014.1,CHST15
XP_060686903.1,SLC10A4
XP_060705995.1,SCGN
XP_060513356.1,LACRT
NP_004175.2,WARS1
XP_060699471.1,UBE3B
XP_060680978.1,DNAJC1
XP_060685444.1,NRDE2
XP_060547785.1,UPP1
XP_060690723.1,ATP11B
XP_060709737.1,ADPGK
XP_060710906.1,TIMM29
XP_060690529.1,EIF2A
XP_060711896.1,CLK4
XP_060704677.1,FAM171A2
NP_005233.4,PRSS3
XP_060676521.1,BNIPL
XP_060703940.1,BCAS3
NP_001391956.1,NXF5
XP_060692562.1,RALGAPB
NP_035253.1,PBRM1
XP_060622206.1,SLC6A6
XP_060685424.1,STON2
XP_060700497.1,PGGT1B
XP_060631676.1,AZIN1
XP_060680392.1,OSGIN2
XP_060679534.1,DNAAF11
XP_060700679.1,CRLF3
WP_310872884.1,BAGE
XP_060467287.1,ZNF572
XP_060697868.1,LIPF
XP_060710894.1,CC2D1A
XP_060693793.1,SMPD3
XP_060698252.1,MRPL43
XP_060488459.1,GNG11
XP_060712397.1,GINS4
XP_060632340.1,OPN1SW
XP_060614111.1,KCNJ10
XP_060504118.1,DNASE1L2
XP_060642950.1,MXD1
XP_060643540.1,SCN4B
NP_001411593.1,SNORD115-24
XP_060634351.1,ATXN7L1
XP_060684012.1,VPS16
XP_060551766.1,C10orf67
XP_060706882.1,RAB27B
XP_060686500.1,FRG1
NP_006764.3,DDX47
XP_060625385.1,KLHL1
XP_060544903.1,GALNT6
XP_060620062.1,APOF
XP_060489239.1,KLRG2
XP_060684725.1,CHP1
XP_060545225.1,RABL2B
XP_060682300.1,EMSY
XP_060255136.1,ZNF471
XP_060701951.1,SCAMP4
XP_060541204.1,FYTTD1
XP_060629213.1,CPNE5
XP_060689040.1,MND1
XP_060696138.1,ANTKMT
XP_060691709.1,APEH
XP_060621882.1,SHISA5
XP_059739952.1,ZFY
WP_318066862.1,COA1
XP_060686335.1,SCYL3
XP_060681443.1,WDR1
Q86YR6.2,POTED
XP_060262304.1,PRSS21
XP_060640469.1,EXOC3L2
XP_060612472.1,MAGT1
XP_060683491.1,VPS8
XP_060543585.1,PRR5L
XP_060680238.1,EEF1E1
NP_001300843.1,THBS2
XP_011956737.2,TUBB2B
XP_060703285.1,LYPLA2
XP_060632515.1,KCNJ8
XP_060691953.1,SNX21
XP_060712009.1,CDC42EP3
XP_060541125.1,CABP7
XP_060623730.1,GYG1
P56555.1,DSCR4
NP_001034289.1,SRRM4
NP_001273579.1,ADH1B
XP_060679149.1,RIOK1
XP_060632973.1,MPST
XP_060676826.1,MMS22L
XP_060619403.1,VANGL1
XP_060708074.1,FBLIM1
XP_060537747.1,CREB3L3
XP_060508250.1,HCST
XP_060688407.1,MTM1
XP_060705243.1,FUZ
XP_060698262.1,FBXO4
XP_060507087.1,SELENOV
WP_317960902.1,MSRB1
XP_060701974.1,SLC25A42
XP_060705883.1,KIAA0319
XP_060633517.1,SRGAP1
KAK2526854.1,CDK11A
XP_060546157.1,LMX1A
XP_060686307.1,GORAB
XP_060681891.1,KCTD12
XP_060545415.1,MYO9A
XP_060687867.1,EHBP1
XP_060693515.1,HAS3
XP_060638424.1,ACBD5
XP_060708930.1,ZWILCH
XP_060612965.1,COL26A1
XP_060622285.1,ARL8B
XP_060544796.1,CACNG5
XP_060470153.1,ZSCAN23
XP_060711123.1,RSAD2
XP_060632981.1,SSTR3
XP_060685538.1,CRB1
XP_060709829.1,KLF13
XP_060615786.1,GSR
XP_060696318.1,YTHDC1
XP_060633560.1,IRAK4
NP_038851.2,OLR1
XP_060549172.1,CALN1
KAK2495471.1,STAG3L5P-PVRIG2P-PILRB
XP_060468997.1,ZNF74
XP_060539947.1,CCDC183
NP_000325.4,SCN4A
XP_060630675.1,CDH9
XP_060626540.1,ACP6
XP_060694907.1,AKIP1
XP_060695303.1,LLPH
XP_060686353.1,EFCAB7
XP_060546144.1,OLFML2B
XP_060681447.1,ELP2
XP_060679309.1,TIMM21
XP_060704695.1,CCDC47
XP_060627444.1,FOXS1
XP_060550179.1,MEGF6
XP_060545704.1,MAGI3
NP_001359418.1,SPHK1
NP_003248.3,ABR
XP_060627829.1,SLC43A1
XP_060624973.1,GPRIN2
XP_034264859.1,GABRR2
KAK2498460.1,GSTM5
XP_034259672.1,TST
XP_060710762.1,TFR2
XP_060628457.1,ADORA1
XP_027826496.1,PRTN3
XP_060712499.1,LSM1
XP_060627038.1,VWCE
XP_060626291.1,FAM3B
NP_036066.2,YTHDF2
XP_060693498.1,CCDC113
XP_060708231.1,VWA1
Q99666.3,RGPD6
XP_060692136.1,UTP15
WP_318184752.1,SDHD
NP_001369393.1,ERO1A
XP_060622180.1,CHCHD6
XP_060695478.1,PNPLA8
XP_060468948.1,RTL10
XP_060697744.1,GDA
XP_060684328.1,SLC8A3
XP_060461802.1,TRIM34
XP_060537521.1,GLG1
XP_060695996.1,LARGE1
XP_060698108.1,FAM160B1
XP_060626753.1,BOC
XP_060634461.1,GABRA2
XP_060685509.1,VASH1
KAK2544207.1,TTC26
XP_060702440.1,HDGFL2
XP_060688252.1,MARS2
XP_060686265.1,DUSP12
XP_060545535.1,TNNT2
NP_080106.1,LINC01588
XP_060550257.1,SLC27A3
XP_060692065.1,SOGA1
KAK2502523.1,KRTAP5-3
NP_001269671.1,OSBP2
XP_060688980.1,TMEM47
XP_060707805.1,PLEKHM2
XP_060711083.1,SNTG2
XP_060709456.1,ZFP91
XP_060707961.1,PANK4
XP_060680436.1,ELP6
XP_060680177.1,C7orf25
XP_060674237.1,TAP2
XP_060539187.1,OAF
NP_036406.1,H2AP
XP_060682629.1,TIFA
XP_060682940.1,RADX
XP_060628205.1,GHRH
XP_060679020.1,RPUSD4
XP_060540027.1,TTYH3
XP_060688663.1,BRCC3
KAK2095881.1,TRGV9
XP_060652168.1,RNF25
NP_001345166.1,SUV39H2
XP_060633014.1,BAIAP2L2
KAK2505992.1,CYP7B1
NP_001293021.1,EVC2
XP_060461462.1,TMEM126B
XP_060695851.1,ZNF462
XP_060626511.1,BEST1
XP_060616907.1,CST7
O75437.3,ZNF254
XP_060691707.1,CRBN
XP_058286656.1,ZNF695
XP_060693897.1,LRP3
XP_060690142.1,PLCH1
XP_060642162.1,ATCAY
XP_060703861.1,PRKRIP1
XP_060693339.1,SEMA4F
XP_060681009.1,MASTL
XP_060632066.1,R3HDM1
XP_060636207.1,PRR14
XP_060617914.1,TICAM2
XP_060621294.1,PCBD2
XP_060540361.1,CLDN15
XP_060635643.1,LEP
XP_060700142.1,PLA2G1B
XP_060696000.1,NUP205
XP_060545468.1,ISL2
XP_060630463.1,RGS8
XP_060547842.1,RHBDD3
XP_060689980.1,GRK7
XP_060627106.1,CHORDC1
XP_034278062.2,RIMS2
XP_060612146.1,RAB9B
XP_060685570.1,CCDC17
DBA13048.1,IGLC7
XP_034297523.1,BRS3
XP_060622863.1,IL18RAP
XP_060642399.1,PAIP2
NP_006578.2,CORIN
XP_060468785.1,RASL10A
XP_060619821.1,OLFM2
XP_060696075.1,COQ7
XP_060701566.1,MICAL1
XP_060688949.1,SMPX
XP_060692890.1,SPRY4
XP_060219950.1,TPSG1
XP_060693622.1,CDT1
XP_060616256.1,PAK6
XP_060712813.1,UBE3D
XP_060545999.1,ODF2L
XP_060643646.1,DBNL
XP_060691092.1,CCDC51
XP_060689748.1,SETD4
KAK2498180.1,PCDHGA11
XP_060712100.1,TMEM160
XP_060685657.1,C1orf21
XP_060611170.1,RHCG
XP_060489168.1,AKR1B1
XP_060680125.1,PEX2
XP_060626849.1,MEDAG
XP_060544046.1,COL5A2
XP_060629924.1,PLPPR4
XP_060688021.1,NKRF
XP_060642509.1,RPL3L
XP_060547752.1,FHOD3
XP_060546684.1,MOCS2
XP_060707832.1,DNAJC16
XP_060493274.1,STOML3
XP_060694034.1,NIP7
Q7L2R6.2,ZNF765
XP_060550842.1,LIMCH1
Q8N7Y1.1,KIRREL3-AS3
XP_060622597.1,SYT9
XP_060703992.1,GAS2
XP_060545932.1,UBE2U
XP_060642526.1,CIAO3
XP_060609901.1,L3HYPDH
XP_060639552.1,NPTX2
XP_060629366.1,AKR1A1
XP_060689014.1,ARL6
XP_060694287.1,CCDC102A
XP_060699017.1,CEP83
XP_060636384.1,TMC4
XP_060685800.1,SPATA6
NP_001177249.1,CLEC6A
XP_060696466.1,GLYR1
XP_034276884.1,EPX
XP_060639474.1,RAB17
XP_060548258.1,SASH1
XP_060624380.1,BBIP1
XP_060514480.1,CLEC4E
XP_060550438.1,SLC25A18
XP_060693966.1,COTL1
XP_060691148.1,ACTR8
XP_060504658.1,ACSM1
XP_060636121.1,PIP4P1
XP_015901392.3,SDS
XP_060693650.1,ANKRD27
XP_060510908.1,CABS1
XP_060540059.1,ZBTB6
XP_060632413.1,NUDT9
XP_059244930.1,ZNF846
XP_060549753.1,CLIP3
NP_001106709.1,FCRL5
XP_060544691.1,SLC16A5
XP_060702825.1,SIAE
XP_060685842.1,PLPP3
XP_060611739.1,TARS3
XP_060681490.1,HACL1
XP_060699220.1,PYROXD1
XP_060697712.1,EDF1
XP_060630252.1,PCDH12
XP_060685082.1,TRAPPC6B
XP_060693933.1,CMC2
XP_060623705.1,SELENOT
XP_060708035.1,LZIC
NP_005189.2,BTNL3
XP_060624146.1,ARHGEF4
WP_318195880.1,LCT
XP_060538711.1,PLEKHB1
XP_060541759.1,NKIRAS1
XP_060499523.1,TNFSF4
XP_060631505.1,STMN2
XP_060635785.1,AGFG2
XP_060643440.1,ZNF703
XP_060708005.1,C1orf159
XP_060708097.1,FHAD1
XP_060680920.1,DUS3L
NP_001392012.1,ARGLU1
Q52M75.2,LINC01554
XP_060619802.1,SLC48A1
XP_060463193.1,TIGD3
XP_060711341.1,BTBD9
XP_060258220.1,GATD3A
XP_060685746.1,ATG4C
XP_034280400.2,RSKR
NP_001075459.1,AOX1
XP_060688925.1,RNASEH2B
XP_060702443.1,MRPL34
XP_060709256.1,ALDH1A2
NP_001166170.1,PPARGC1B
XP_042089537.1,MS4A14
XP_060698691.1,COPG2
XP_060692786.1,NME5
XP_060639334.1,SLC39A12
XP_060708134.1,SAMD11
XP_060636883.1,LRRC46
NP_853629.2,ATL1
XP_060682660.1,MSANTD4
XP_060633899.1,DNAH8
XP_034277223.1,NEIL2
XP_060695997.1,CREB3L2
XP_060687321.1,SLC30A6
XP_060508434.1,ZNF432
XP_060709512.1,LRAT
XP_060542593.1,ST6GAL2
XP_060550424.1,TPRG1
3IE3_B,GSTM2
XP_060627783.1,ZSWIM3
XP_060636155.1,STX1B
XP_042104871.1,TAS2R5
XP_060709336.1,MTHFS
XP_060544350.1,SLC6A1
XP_060694749.1,PTDSS2
XP_060681803.1,SHROOM3
XP_060689294.1,PCID2
XP_060702707.1,ENDOU
XP_060682962.1,TRIM62
XP_060682683.1,C11orf87
XP_060634381.1,ABCD2
XP_060611728.1,CRABP1
XP_060544567.1,KCNIP1
XP_060271498.1,ZNF557
XP_060548842.1,TECPR1
XP_060685761.1,IL12RB2
NP_001389202.1,SNRK
XP_060613551.1,SLC25A25
XP_060613370.1,ANGPTL2
XP_060495487.1,RTP4
XP_060538652.1,KCNAB3
XP_060635072.1,ELOVL6
XP_060704984.1,TMEM87B
XP_060637313.1,REEP1
XP_060635973.1,DCAF11
XP_060684237.1,TTLL4
NP_000959.2,SNHG7
BEU01475.1,GALM
XP_060696642.1,POLR1E
XP_060696494.1,SNN
XP_060540321.1,DNAJC5
D3ZVV1.1,KHDC1
KAK1332366.1,ZNF625
XP_060540868.1,LMAN2L
XP_060689158.1,VGLL3
XP_060540460.1,ZBTB47
XP_060702734.1,C2CD2
XP_060681511.1,GATAD1
XP_060692696.1,LSM11
XP_060543316.1,SERPINA10
NP_001015906.1,AFG3L1P
XP_060537662.1,CD99L2
XP_060631879.1,CCN4
XP_060712565.1,KANSL3
XP_060696483.1,C16orf72
XP_060711820.1,GPR137
XP_060703241.1,ADPRS
XP_060704967.1,GHDC
XP_060627723.1,GPR20
XP_060682090.1,ATP8A2
XP_060687569.1,ARID1B
XP_060693753.1,ARL2BP
XP_034281480.1,CNGB1
XP_060683749.1,KLHL23
XP_060684448.1,VCPKMT
XP_060612878.1,CTNS
XP_060707599.1,NKX6-1
XP_034282282.2,DCHS1
XP_060701547.1,UBAP1
XP_060623503.1,GHSR
XP_060698094.1,DCLRE1A
XP_060622849.1,GDF2
NP_001352359.1,TCAF2
XP_060685662.1,GBA2
XP_060702376.1,SLC35E1
XP_060504203.1,FLYWCH1
XP_060692538.1,COL9A3
XP_060701209.1,NAA35
CAH6776878.1,SNHG11
XP_060707981.1,B3GALT6
XP_060617381.1,RANBP3L
XP_060539159.1,PHC3
XP_060539408.1,OTUD5
XP_060463253.1,SNX32
P15515.2,HTN1
XP_060704996.1,RAMP2
XP_060612379.1,KLHL4
NP_001003679.1,LEPROT
NP_001082049.1,REV1
XP_060508485.1,ZNF579
XP_060685353.1,FLRT2
XP_060682154.1,BMP3
3UGR_A,AKR1C3
XP_060685066.1,C18orf54
XP_060629514.1,SLC11A1
XP_042097523.1,MORC4
XP_060687222.1,ABRA
XP_060548781.1,CACNG7
XP_060636362.1,GULP1
XP_060497022.1,UTF1
XP_060545863.1,ST3GAL3
XP_060698859.1,SRR
XP_060548343.1,PCNX2
XP_060685711.1,RTCA
NP_694857.1,SLC22A1
XP_059745093.1,HPF1
XP_060680105.1,SPICE1
XP_060704456.1,RILP
NP_001310579.1,EPCAM
XP_060680606.1,TRIL
XP_027821739.2,TMPRSS12
XP_060678823.1,DEPTOR
XP_060538168.1,LRRC14
XP_060694528.1,RNF141
NP_005505.2,ERAP2
BEU04347.1,TCTA
XP_060688025.1,AKAP14
XP_060621617.1,PRELID1
XP_060688612.1,PCDH19
XP_060703936.1,ANKRD13B
XP_060684061.1,PARP12
XP_060640425.1,MAN1C1
XP_060550232.1,GABPB2
XP_060624479.1,ASCL2
P01571.2,IFNA17
XP_060680316.1,XK
MYPN,MYPN
XP_060691457.1,NT5DC2
Q8IZT9.1,FAM9C
XP_060681292.1,VWDE
XP_060702060.1,UNC45B
XP_060494876.1,PLSCR2
XP_060545113.1,ANKRD6
XP_060704676.1,PNPO
Q99706.3,KIR2DL4
XP_060697762.1,PDE6C
XP_060698459.1,HPS6
XP_060539999.1,CORO7
XP_060694991.1,MICAL2
XP_060475374.1,CMA1
XP_060680927.1,FAM171A1
XP_060707453.1,SCLT1
XP_060508166.1,ZNF260
NP_001243112.1,ZNF778
XP_060700196.1,EME1
XP_060548006.1,OPHN1
XP_060681541.1,STEAP1
XP_060708048.1,CPLANE2
XP_012040515.1,SH2D1B
XP_060687437.1,SPATA17
XP_060623002.1,GAS2L2
XP_060687545.1,SFT2D1
XP_060617456.1,PELO
XP_060636515.1,ATXN2L
XP_060700776.1,CENPX
XP_060711131.1,TRIR
XP_042111563.1,ALOX15
XP_060540798.1,GMPR2
XP_060699161.1,CRELD2
XP_060245259.1,LY6H
XP_060704899.1,GPR179
NP_001344081.1,PGC
XP_060684293.1,ZFYVE19
XP_060708019.1,C1orf50
XP_060702566.1,UNC13A
XP_060700295.1,RIOK2
XP_060698458.1,PROM2
XP_060546028.1,PTBP2
XP_060682406.1,CFAP300
XP_060538120.1,EPPK1
XP_060537548.1,SLC7A6
UYU25743.1,HLA-DRB4
XP_060702818.1,FDXACB1
XP_060629663.1,RUFY4
XP_060700609.1,USH1G
P0DN86.1,CGB3
XP_060641073.1,GDF1
XP_060690312.1,SCLY
Q30DN6.1,KDM5D
XP_060698447.1,SFR1
XP_034283162.1,SLC22A7
XP_060707420.1,RXFP1
XP_060633159.1,UBN2
XP_060708098.1,UTP3
XP_060678312.1,LYSMD1
XP_060616933.1,TSPAN10
XP_060628206.1,EMILIN3
XP_060701207.1,SHISA4
XP_060703043.1,USP28
XP_060704130.1,LRWD1
XP_060695476.1,PUS7L
XP_060712139.1,COQ8B
XP_060697703.1,TMEM141
P51606.3,CMAHP
XP_060636215.1,TBC1D10B
XP_060620878.1,PRR36
XP_060704275.1,C11orf54
NP_001025.1,USP12
XP_060696640.1,TBC1D24
XP_060681832.1,TM9SF2
XP_060683937.1,RBM45
XP_060629208.1,PSRC1
XP_060538473.1,IRX3
NP_001389958.1,WNK3
XP_059733324.1,USP29
XP_060695537.1,KIAA1549
XP_060705416.1,FMC1
XP_060631342.1,UBXN2B
XP_059745229.1,C9orf135
XP_060465657.1,KLHL9
XP_060480132.1,BPIFA2
XP_060490806.1,HAVCR1
XP_060705201.1,SYT3
XP_060694884.1,KMT5B
XP_060626986.1,RAB39A
XP_060699878.1,CCDC92
6MER_A,PCDHGB3
XP_060690249.1,OTOS
XP_060549174.1,RAP1GAP2
XP_060695402.1,TTC38
XP_060696898.1,PEMT
XP_042109039.1,RNASE2
XP_060685449.1,TTC7B
XP_060680560.1,SRD5A1
XP_060632821.1,DENND2A
XP_060682881.1,MOGAT2
A6NEQ0.1,RBMY1E
WOZ00469.1,CHPF
NP_001240820.1,APOL1
XP_060476054.1,CCDC196
XP_060701108.1,FRMD3
XP_060490666.1,TIGD6
XP_060148790.1,SPIN3
XP_060676650.1,PAQR6
Q9Y4A9.1,OR10H1
XP_060689671.1,DCBLD2
XP_060513777.1,LALBA
XP_060551022.1,MFRP
XP_060467713.1,PSKH2
XP_021502736.2,ITLN1
XP_060681368.1,AZI2
XP_060698101.1,CCDC186
XP_060614112.1,KCNJ9
XP_060627056.1,ARHGAP42
XP_060687553.1,TIAM2
XP_060712072.1,EIF3K
XP_060540719.1,ZCWPW1
Q13536.1,MIR9-1HG
XP_060688442.1,ATG4A
XP_060630130.1,NRG2
XP_034275918.2,DGAT1
XP_060682003.1,C2orf49
XP_060474350.1,RPS27L
NP_990682.1,ANXA2P2
XP_060677200.1,ECHDC1
XP_060710010.1,BMS1
XP_060705056.1,POLR1B
XP_060609737.1,KIF25
XP_060691847.1,PROK2
NP_001390399.1,SYT11
XP_060687548.1,CNKSR3
XP_060686351.1,ALG6
XP_060704640.1,DCAKD
XP_060694571.1,FAM221B
XP_060691004.1,AADAT
XP_060685632.1,IER5
XP_060679971.1,DCLK2
XP_060687137.1,CCDC170
XP_060680405.1,CIBAR1
XP_060711491.1,RRP36
Q96MU5.2,CD300LD-AS1
XP_060482819.1,CCDC163
XP_060681218.1,SLC52A2
XP_060681359.1,PLEKHA8
Q9Y2A4.2,ZNF443
XP_060684111.1,KCNH3
NP_006678.1,PLCZ1
XP_060504269.1,ZNF597
XP_060465656.1,IFNE
XP_060692010.1,FITM2
XP_060620326.1,C1QTNF1
XP_027824145.3,ZFP69B
XP_060640250.1,IL22RA1
XP_060510646.1,SPARCL1
O60809.4,PRAMEF10
XP_060464966.1,ZFP37
XP_060700765.1,SGSH
XP_060509391.1,ZNF449
XP_060500579.1,CD5L
XP_060701070.1,TAF8
XP_060691003.1,DTYMK
XP_060699279.1,ENPP6
XP_060496684.1,IGSF1
XP_060683826.1,GPR39
XP_060638601.1,NUB1
XP_060160359.1,ALDH3B2
XP_060684521.1,SLC38A6
XP_060697796.1,HOGA1
Q494R0.1,FBXL19-AS1
XP_060692440.1,LSM14B
XP_060514384.1,KLRD1
NP_001263183.2,IFNL3
XP_060686396.1,EFCAB14
XP_060697748.1,PKD2L1
XP_060479253.1,CRYGB
XP_060484939.1,C20orf203
XP_060548513.1,TTC7A
AIC59009.1,HLA-DPB2
NP_001390307.1,ARX
XP_060695218.1,KICS2
XP_060680002.1,VPS37A
XP_060686497.1,B4GALT2
NP_110420.3,KLF7
XP_060684338.1,CHURC1
XP_060609480.1,ZC2HC1B
XP_060682412.1,USF3
XP_060689828.1,C21orf91
NP_001295104.1,NOX1
XP_060694898.1,DENND5A
XP_060549041.1,ZP2
XP_060687304.1,RASGRP3
XP_060499524.1,TNFSF18
NP_001000.2,KDM4D
XP_058280591.1,ZNF430
NP_001315029.1,PNPLA3
XP_060696051.1,CECR2
XP_060712216.1,YIF1B
NP_001356693.1,ZNF28
XP_060485203.1,PCDHB3
XP_060538050.1,SALL3
XP_060538974.1,GPR87
XP_060475384.1,WFDC3
NP_990423.1,ADH1A
XP_060703341.1,DDX60
XP_060688575.1,KLHL13
XP_060497269.1,FAM24B
XP_060682208.1,MGAT4A
XP_060257111.1,AMY2B
XP_060634363.1,GPR22
XP_060691365.1,SNX25
XP_060686437.1,OSBPL9
XP_060687605.1,PGM3
XP_060621533.1,NIPAL4
O14581.1,OR7A17
XP_060622732.1,SUCNR1
XP_060699817.1,PTCD2
XP_060466773.1,PMP2
NP_001231259.1,GGTA1
XP_060697600.1,MIGA2
XP_060621227.1,ACSL6
XP_060544808.1,MMP19
XP_060633953.1,HS3ST1
XP_060633211.1,ERMN
XP_060610103.1,PLB1
NP_064420.2,SCARF2
XP_059998266.1,FCRL3
XP_060490861.1,P2RY4
XP_034287309.2,CRLF2
XP_060618411.1,ADAMTSL1
XP_059738140.1,ADAM3A
XP_060635330.1,GPR155
XP_060547667.1,KANSL1
XP_060712589.1,HACE1
XP_060711085.1,PET100
XP_060505206.1,CCL24
XP_060677575.1,NPR3
XP_060611097.1,PNOC
NP_001342079.1,SLC17A6
XP_060697752.1,ASAH2
XP_060698875.1,SLC26A4
XP_060538262.1,PCDH15
XP_060550410.1,CCDC50
XP_060632160.1,GRXCR1
XP_060702996.1,HTR3B
XP_060496693.1,SCN11A
NP_001349605.1,SLC4A10
XP_060695285.1,TMTC2
NP_620180.2,MIR155
XP_060621888.1,ECM2
XP_027832171.1,CST8
XP_060698435.1,ENO4
XP_060687367.1,CAMKMT
XP_060616897.1,PDE6B
XP_060698215.1,DNAJC21
XP_060704354.1,NCF1
XP_060700076.1,UPB1
AHB85640.1,TRNL1
XP_060539956.1,ZIC3
XP_060542317.1,HTR1F
XP_034279013.1,PLA2G4C
KAG3262372.1,HNRNPA3P1
XP_060271248.1,FBXL21P
NP_001265122.1,ERVW-1
XP_060550755.1,MCTP2
NP_001083128.1,PRODH2
NP_001393311.1,TET1
XP_060709014.1,CGNL1
XP_060643122.1,ESAM
XP_058281016.1,ZNF480
XP_060631658.1,SNX31
XP_060114801.1,ADGRF4
XP_060679995.1,OFCC1
XP_060679811.1,LAMA1
XP_060614686.1,GPR153
AWD71898.1,MIR17
XP_060633738.1,LMOD2
XP_060473333.1,ACOT6
NP_001157726.1,TREM2
NP_071886.1,MIR98
XP_060681422.1,DGKB
XP_015876018.2,UCN
XP_060624941.1,BICC1
KAK2492748.1,TAAR6
8D71_A,MIR122
XP_059742465.1,CASC1
Q8IVF6.3,ANKRD18A
XP_060694699.1,PAMR1
XP_060643130.1,TCIM
XP_060689546.1,DIPK2B
XP_060469856.1,MRO
XP_060490799.1,TIMD4
XP_060703001.1,TTC36
KAK2115681.1,COX7B2
XP_060695367.1,FAM180A
P01315.2,INS-IGF2
XP_060680013.1,ST18
XP_060484935.1,TAS2R16
NP_816929.1,CASC4
XP_060698490.1,AS3MT
KAK2081733.1,OR8S1
XP_034279148.1,DHDH
XP_060677237.1,ENPP5
XP_060615696.1,ACRBP
XP_060548192.1,NCOA7
XP_060504861.1,IL27
XP_060677056.1,SP5
XP_060608819.1,COL19A1
XP_060492366.1,GRM6
XP_034992996.2,LRRC37A
XP_060627306.1,SLCO2B1
XP_060631125.1,CLUL1
XP_060709365.1,ZNF532
NP_005338.1,KIAA1324
XP_060704693.1,LIMD2
XP_060705546.1,DDX59
XP_060703146.1,STPG1
KAK2518300.1,ATP6AP1L
XP_060698271.1,SORCS1
XP_060639133.1,EFCAB13
XP_060629278.1,TMEM125
XP_060692693.1,UBLCP1
XP_060507981.1,ZNF569
XP_060587332.1,GPR180
XP_060617990.1,ADAMTS19
XP_060710496.1,KIF6
XP_060700816.1,HEATR9
XP_060696041.1,OTOGL
XP_060508695.1,NLRP9
XP_060507335.1,ZNF404
XP_042098652.1,SPATA21
XP_060702554.1,HAPLN4
NP_001385568.1,MIR132
NP_001127848.1,MIR205
NP_084090.1,MIR429
NP_072179.1,ZNF667-AS1
NP_001394175.1,PCSK9
XP_060695198.1,TMEM117
XP_060689547.1,CCDC80
NP_071987.1,MIR19A
NP_001100590.1,MIR4516
XP_060623893.1,CLSTN2
XP_046624300.1,BTBD11
XP_060709358.1,ADAMTS17
XP_060691197.1,GPR27
NP_899229.2,PWAR6
XP_060622316.1,CNTN3
XP_060537849.1,CSMD3
